Danceability,Tempo,Instrumentalness,Energy,Acousticness,Valence,Liveness,Loudness,Speechiness,Label
0.215,111.729,0.00474,0.414,0.469,0.137,0.0539,-9.042,0.0373,2
0.684,138.014,0.0,0.259,0.743,0.0515,0.0751,-11.053,0.049,2
0.287,80.253,9.1e-05,0.481,0.418,0.356,0.108,-7.514,0.03,2
0.671,94.08,0.0518,0.156,0.804,0.201,0.113,-16.288,0.0371,2
0.436,108.967,0.0,0.122,0.966,0.278,0.128,-10.947,0.0434,2
0.42,94.93,0.0,0.658,0.597,0.196,0.103,-6.72,0.094,2
0.464,89.607,0.441,0.251,0.987,0.487,0.109,-11.393,0.0323,2
0.557,99.898,0.0,0.16,0.737,0.253,0.0913,-13.373,0.0454,2
0.65,119.522,0.0,0.171,0.921,0.284,0.127,-9.005,0.0519,2
0.37,92.349,0.000563,0.237,0.725,0.255,0.111,-10.533,0.0271,2
0.313,77.27,0.0,0.429,0.787,0.416,0.0863,-7.415,0.0343,2
0.567,125.16,0.000342,0.542,0.309,0.229,0.0734,-6.64,0.0309,2
0.315,206.727,0.000377,0.224,0.863,0.0727,0.109,-11.94,0.0406,2
0.492,92.6,0.0,0.275,0.687,0.18,0.101,-13.4,0.3,2
0.435,128.532,0.0,0.155,0.873,0.0935,0.107,-8.948,0.046,2
0.596,107.891,0.000183,0.2,0.91,0.308,0.0884,-10.424,0.0305,2
0.393,136.938,0.105,0.0668,0.963,0.0384,0.107,-20.755,0.0404,2
0.462,89.868,0.0404,0.217,0.133,0.232,0.129,-15.251,0.0424,2
0.447,136.87,0.0,0.257,0.912,0.32,0.117,-9.172,0.0394,2
0.511,112.379,1.03e-05,0.304,0.845,0.195,0.0741,-11.096,0.0279,2
0.641,139.028,0.0,0.607,0.164,0.512,0.261,-5.318,0.0622,2
0.621,111.893,6.12e-05,0.31,0.945,0.125,0.117,-10.164,0.0283,2
0.558,80.259,0.0,0.136,0.799,0.141,0.1,-11.731,0.0337,2
0.649,150.036,0.0,0.548,0.733,0.506,0.136,-5.692,0.0318,2
0.492,127.716,0.0,0.189,0.95,0.259,0.266,-6.545,0.0397,2
0.576,150.017,0.0,0.835,0.337,0.476,0.082,-6.826,0.0486,2
0.678,125.066,0.358,0.0813,0.978,0.304,0.123,-22.859,0.0406,2
0.689,124.548,1.89e-05,0.403,0.752,0.124,0.12,-9.099,0.0405,2
0.144,173.687,0.426,0.31,0.823,0.0903,0.613,-14.214,0.031,2
0.405,119.85,0.0,0.279,0.881,0.256,0.0933,-8.099,0.0334,2
0.515,155.954,0.0,0.714,0.286,0.495,0.118,-4.516,0.0348,2
0.399,173.459,0.000114,0.646,0.37,0.243,0.232,-6.991,0.0369,2
0.52,139.555,0.000131,0.253,0.394,0.219,0.109,-12.407,0.0344,2
0.604,119.609,1.38e-05,0.098,0.978,0.14,0.102,-20.877,0.109,2
0.627,120.065,0.0464,0.187,0.949,0.266,0.0886,-16.576,0.0427,2
0.432,89.865,5.25e-06,0.038,0.944,0.311,0.384,-16.77,0.041,2
0.708,72.541,0.0,0.186,0.868,0.321,0.0779,-8.953,0.0422,2
0.421,137.446,0.00453,0.131,0.952,0.12,0.109,-18.435,0.0382,2
0.46,98.329,1.98e-05,0.0834,0.909,0.21,0.112,-15.095,0.0433,2
0.556,143.95,0.0,0.538,0.0689,0.291,0.196,-5.408,0.0382,2
0.287,136.126,0.0,0.345,0.756,0.309,0.239,-7.827,0.0296,2
0.378,75.363,0.0,0.461,0.627,0.232,0.386,-6.202,0.0275,2
0.453,169.316,0.0,0.209,0.587,0.216,0.119,-11.917,0.223,2
0.505,131.988,0.0,0.537,0.137,0.194,0.145,-5.532,0.0278,2
0.559,74.002,1.99e-06,0.422,0.701,0.191,0.0853,-11.89,0.195,2
0.463,84.175,0.0,0.24,0.541,0.245,0.165,-6.448,0.0606,2
0.561,143.027,0.0,0.0587,0.95,0.342,0.0828,-17.819,0.0762,2
0.551,143.978,0.0,0.195,0.489,0.0573,0.0818,-13.638,0.085,2
0.55,148.062,6.88e-05,0.611,0.162,0.243,0.121,-7.475,0.137,2
