,Danceability,Tempo,Instrumentalness,Energy,Acousticness,Valence,Liveness,Loudness,Speechiness,Label
79,0.249,135.281,0.954,0.0302,0.983,0.143,0.258,-22.602,0.0397,1
80,0.578,109.289,0.819,0.0892,0.993,0.651,0.114,-16.802,0.0508,1
81,0.592,110.523,0.934,0.0136,0.991,0.429,0.152,-19.484,0.115,1
82,0.435,129.267,0.854,0.0363,0.988,0.296,0.122,-19.634,0.0457,1
83,0.428,113.56,0.889,0.115,0.995,0.177,0.0993,-18.834,0.0529,1
84,0.413,124.657,0.798,0.0775,0.982,0.118,0.115,-18.608,0.0451,1
85,0.477,98.976,0.926,0.0256,0.991,0.347,0.111,-19.619,0.0495,1
86,0.542,122.151,0.898,0.111,0.989,0.0759,0.108,-18.176,0.0484,1
87,0.335,133.244,0.975,0.0522,0.96,0.166,0.156,-22.719,0.0378,1
88,0.371,84.784,0.257,0.0131,0.955,0.311,0.353,-17.399,0.0384,1
89,0.362,73.844,0.205,0.0828,0.913,0.0872,0.257,-17.584,0.0403,1
90,0.347,75.332,0.00444,0.175,0.898,0.396,0.117,-15.339,0.0358,1
91,0.316,113.642,0.0,0.19,0.802,0.247,0.318,-16.608,0.0364,1
92,0.354,102.159,0.0115,0.333,0.867,0.143,0.304,-15.671,0.0331,1
93,0.375,128.686,0.959,0.128,0.973,0.594,0.371,-20.942,0.045,1
94,0.248,50.225,0.946,0.211,0.991,0.343,0.369,-21.469,0.0675,1
95,0.474,124.49,0.624,0.163,0.986,0.312,0.35,-16.745,0.0455,1
96,0.437,137.998,0.883,0.16,0.991,0.181,0.337,-15.257,0.0416,1
97,0.413,133.89,0.95,0.161,0.98,0.0685,0.366,-16.236,0.0363,1
98,0.4,90.498,0.767,0.256,0.992,0.317,0.366,-16.875,0.0358,1
99,0.303,76.698,0.967,0.247,0.991,0.175,0.359,-18.053,0.036,1
0,0.669,120.045,0.0,0.855,0.0124,0.648,0.335,-3.035,0.0499,0
1,0.615,140.0,0.0067,0.91,0.00761,0.346,0.16,-2.825,0.0762,0
2,0.687,127.001,0.0,0.866,0.00768,0.682,0.37,-4.346,0.16,0
3,0.681,128.002,0.141,0.692,0.0331,0.256,0.0781,-10.564,0.104,0
4,0.707,130.021,0.0,0.861,0.1,0.795,0.191,-4.225,0.316,0
5,0.703,127.954,0.0,0.786,0.0666,0.475,0.553,-2.243,0.0561,0
6,0.668,127.0,0.0,0.829,0.00572,0.648,0.358,-2.748,0.0334,0
7,0.685,131.967,2.01e-06,0.754,0.034,0.626,0.322,-5.293,0.0441,0
8,0.697,127.01,0.0,0.807,0.0382,0.732,0.471,-3.049,0.0587,0
